"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.033346	0.0001858	1	0.012705	0.05	0.046205	0.01101
0.033346	0.00018579	1	0.012738	0.05	0.046238	0.01101
0.033346	0.00018579	1	0.012771	0.05	0.046271	0.01101
0.033346	0.00018578	1	0.012804	0.05	0.046304	0.01101
0.033346	0.00018577	1	0.012837	0.05	0.046337	0.01101
0.033346	0.00018577	1	0.01287	0.05	0.04637	0.01101
0.033346	0.00018576	1	0.012903	0.05	0.046403	0.01101
0.033346	0.00018575	1	0.012936	0.05	0.046436	0.01101
0.033346	0.00018575	1	0.012969	0.05	0.046469	0.01101
0.033346	0.00018574	1	0.013002	0.05	0.046502	0.01101
0.033346	0.00018574	1	0.013035	0.05	0.046535	0.01101
0.033346	0.00018573	1	0.013068	0.05	0.046568	0.01101
0.033346	0.00018572	1	0.013101	0.05	0.046601	0.01101
0.033346	0.00018572	1	0.013134	0.05	0.046634	0.01101
0.033346	0.00018571	1	0.013167	0.05	0.046667	0.01101
0.033346	0.0001857	1	0.0132	0.05	0.0467	0.01101
0.033346	0.0001857	1	0.013233	0.05	0.046733	0.01101
0.033346	0.00018569	1	0.013266	0.05	0.046766	0.01101
0.033346	0.00018569	1	0.013299	0.05	0.046799	0.01101
0.033346	0.0001857	1	0.013332	0.05	0.046832	0.01101
0.033346	0.0001857	1	0.013365	0.05	0.046865	0.01101
0.033346	0.00018569	1	0.013398	0.05	0.046898	0.01101
0.033346	0.00018569	1	0.013431	0.05	0.046931	0.01101
0.033346	0.00018568	1	0.013464	0.05	0.046964	0.01101
0.033346	0.00018568	1	0.013497	0.05	0.046997	0.01101
0.033346	0.00018567	1	0.01353	0.05	0.04703	0.01101
0.033346	0.00018567	1	0.013563	0.05	0.047063	0.01101
0.033346	0.00018566	1	0.013596	0.05	0.047096	0.01101
0.033346	0.00018566	1	0.013629	0.05	0.047129	0.01101
0.033346	0.00018565	1	0.013662	0.05	0.047162	0.01101
0.033346	0.00018565	1	0.013695	0.05	0.047195	0.01101
0.033346	0.00018564	1	0.013728	0.05	0.047228	0.01101
0.033346	0.00018563	1	0.013761	0.05	0.047261	0.01101
0.033346	0.00018563	1	0.013794	0.05	0.047294	0.01101
0.033346	0.00018563	1	0.013827	0.05	0.047327	0.01101
0.033346	0.00018562	1	0.01386	0.05	0.04736	0.01101
0.033346	0.00018562	1	0.013893	0.05	0.047393	0.01101
